scenario,source,target,path,cost,algorithm,note
risk,Deir al Balah,Islamic University - khanyonuis,"['Deir al Balah', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",10.05,dijkstra,ok
risk,Al Musaddar,مستشفى شهداء الاقصى,"['Al Musaddar', 'مستشفى شهداء الاقصى']",2.0,dijkstra,ok
risk,Al Musaddar,Gaza field hospital of the Jordanian-,,,,no path
risk,Al Musaddar,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Al Musaddar,UNRWA vocational college,"['Al Musaddar', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",9.76,dijkstra,ok
risk,Al Musaddar,UNRWA-GFO,"['Al Musaddar', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",8.03,dijkstra,ok
risk,Al Musaddar,Al Quds Open University - Gaza Branch,,,,no path
risk,Al Musaddar,جامعة الازهر كلية الحقوق المغراقة,"['Al Musaddar', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",8.219999999999999,dijkstra,ok
risk,Al Musaddar,Islamic University - khanyonuis,"['Al Musaddar', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",10.25,dijkstra,ok
risk,Abasan al-Kabira,مستشفى شهداء الاقصى,"['Abasan al-Kabira', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",11.85,dijkstra,ok
risk,Abasan al-Kabira,Gaza field hospital of the Jordanian-,,,,no path
risk,Abasan al-Kabira,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Abasan al-Kabira,UNRWA vocational college,"['Abasan al-Kabira', 'Islamic University - khanyonuis', 'Al Qarara', 'UNRWA vocational college']",11.93,dijkstra,ok
risk,Abasan al-Kabira,UNRWA-GFO,"['Abasan al-Kabira', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",17.88,dijkstra,ok
risk,Abasan al-Kabira,Al Quds Open University - Gaza Branch,,,,no path
risk,Abasan al-Kabira,جامعة الازهر كلية الحقوق المغراقة,"['Abasan al-Kabira', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",18.07,dijkstra,ok
risk,Abasan al-Kabira,Islamic University - khanyonuis,"['Abasan al-Kabira', 'Islamic University - khanyonuis']",3.6,dijkstra,ok
risk,Abasan al-Saghira,مستشفى شهداء الاقصى,"['Abasan al-Saghira', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",12.32,dijkstra,ok
risk,Abasan al-Saghira,Gaza field hospital of the Jordanian-,,,,no path
risk,Abasan al-Saghira,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Abasan al-Saghira,UNRWA vocational college,"['Abasan al-Saghira', 'Islamic University - khanyonuis', 'Al Qarara', 'UNRWA vocational college']",12.4,dijkstra,ok
risk,Abasan al-Saghira,UNRWA-GFO,"['Abasan al-Saghira', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",18.35,dijkstra,ok
risk,Abasan al-Saghira,Al Quds Open University - Gaza Branch,,,,no path
risk,Abasan al-Saghira,جامعة الازهر كلية الحقوق المغراقة,"['Abasan al-Saghira', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",18.54,dijkstra,ok
risk,Abasan al-Saghira,Islamic University - khanyonuis,"['Abasan al-Saghira', 'Islamic University - khanyonuis']",4.07,dijkstra,ok
risk,Bani Suheila,مستشفى شهداء الاقصى,"['Bani Suheila', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",12.02,dijkstra,ok
risk,Bani Suheila,Gaza field hospital of the Jordanian-,,,,no path
risk,Bani Suheila,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Bani Suheila,UNRWA vocational college,"['Bani Suheila', 'Islamic University - khanyonuis', 'Al Qarara', 'UNRWA vocational college']",12.1,dijkstra,ok
risk,Bani Suheila,UNRWA-GFO,"['Bani Suheila', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",18.049999999999997,dijkstra,ok
risk,Bani Suheila,Al Quds Open University - Gaza Branch,,,,no path
risk,Bani Suheila,جامعة الازهر كلية الحقوق المغراقة,"['Bani Suheila', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",18.24,dijkstra,ok
risk,Bani Suheila,Islamic University - khanyonuis,"['Bani Suheila', 'Islamic University - khanyonuis']",3.77,dijkstra,ok
risk,Khuza'a,مستشفى شهداء الاقصى,"[""Khuza'a"", 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",12.690000000000001,dijkstra,ok
risk,Khuza'a,Gaza field hospital of the Jordanian-,,,,no path
risk,Khuza'a,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Khuza'a,UNRWA vocational college,"[""Khuza'a"", 'Islamic University - khanyonuis', 'Al Qarara', 'UNRWA vocational college']",12.770000000000001,dijkstra,ok
risk,Khuza'a,UNRWA-GFO,"[""Khuza'a"", 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",18.72,dijkstra,ok
risk,Khuza'a,Al Quds Open University - Gaza Branch,,,,no path
risk,Khuza'a,جامعة الازهر كلية الحقوق المغراقة,"[""Khuza'a"", 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",18.91,dijkstra,ok
risk,Khuza'a,Islamic University - khanyonuis,"[""Khuza'a"", 'Islamic University - khanyonuis']",4.44,dijkstra,ok
risk,Al Qarara,مستشفى شهداء الاقصى,"['Al Qarara', 'مستشفى شهداء الاقصى']",3.84,dijkstra,ok
risk,Al Qarara,Gaza field hospital of the Jordanian-,,,,no path
risk,Al Qarara,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Al Qarara,UNRWA vocational college,"['Al Qarara', 'UNRWA vocational college']",3.92,dijkstra,ok
risk,Al Qarara,UNRWA-GFO,"['Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",9.87,dijkstra,ok
risk,Al Qarara,Al Quds Open University - Gaza Branch,,,,no path
risk,Al Qarara,جامعة الازهر كلية الحقوق المغراقة,"['Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",10.059999999999999,dijkstra,ok
risk,Al Qarara,Islamic University - khanyonuis,"['Al Qarara', 'Islamic University - khanyonuis']",4.41,dijkstra,ok
risk,Al Fukhkhari,مستشفى شهداء الاقصى,"['Al Fukhkhari', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",11.6,dijkstra,ok
risk,Al Fukhkhari,Gaza field hospital of the Jordanian-,,,,no path
risk,Al Fukhkhari,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Al Fukhkhari,UNRWA vocational college,"['Al Fukhkhari', 'Islamic University - khanyonuis', 'Al Qarara', 'UNRWA vocational college']",11.68,dijkstra,ok
risk,Al Fukhkhari,UNRWA-GFO,"['Al Fukhkhari', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",17.63,dijkstra,ok
risk,Al Fukhkhari,Al Quds Open University - Gaza Branch,,,,no path
risk,Al Fukhkhari,جامعة الازهر كلية الحقوق المغراقة,"['Al Fukhkhari', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",17.82,dijkstra,ok
risk,Al Fukhkhari,Islamic University - khanyonuis,"['Al Fukhkhari', 'Islamic University - khanyonuis']",3.35,dijkstra,ok
risk,Rafah Camp,مستشفى شهداء الاقصى,"['Rafah Camp', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",13.79,dijkstra,ok
risk,Rafah Camp,Gaza field hospital of the Jordanian-,,,,no path
risk,Rafah Camp,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Rafah Camp,UNRWA vocational college,"['Rafah Camp', 'khan younes int', 'UNRWA vocational college']",11.11,dijkstra,ok
risk,Rafah Camp,UNRWA-GFO,"['Rafah Camp', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",19.82,dijkstra,ok
risk,Rafah Camp,Al Quds Open University - Gaza Branch,,,,no path
risk,Rafah Camp,جامعة الازهر كلية الحقوق المغراقة,"['Rafah Camp', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",20.01,dijkstra,ok
risk,Rafah Camp,Islamic University - khanyonuis,"['Rafah Camp', 'Islamic University - khanyonuis']",5.54,dijkstra,ok
risk,Tal as Sultan,مستشفى شهداء الاقصى,"['Tal as Sultan', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى']",12.68,dijkstra,ok
risk,Tal as Sultan,Gaza field hospital of the Jordanian-,,,,no path
risk,Tal as Sultan,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Tal as Sultan,UNRWA vocational college,"['Tal as Sultan', 'UNRWA vocational college']",4.92,dijkstra,ok
risk,Tal as Sultan,UNRWA-GFO,"['Tal as Sultan', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",18.71,dijkstra,ok
risk,Tal as Sultan,Al Quds Open University - Gaza Branch,,,,no path
risk,Tal as Sultan,جامعة الازهر كلية الحقوق المغراقة,"['Tal as Sultan', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",18.9,dijkstra,ok
risk,Tal as Sultan,Islamic University - khanyonuis,"['Tal as Sultan', 'khan younes int', 'Islamic University - khanyonuis']",10.84,dijkstra,ok
risk,مستشفي الخير,مستشفى شهداء الاقصى,"['مستشفي الخير', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى']",11.14,dijkstra,ok
risk,مستشفي الخير,Gaza field hospital of the Jordanian-,,,,no path
risk,مستشفي الخير,مستشفى الشفا - مبنى الحروق,,,,no path
risk,مستشفي الخير,UNRWA vocational college,"['مستشفي الخير', 'UNRWA vocational college']",3.38,dijkstra,ok
risk,مستشفي الخير,UNRWA-GFO,"['مستشفي الخير', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",17.17,dijkstra,ok
risk,مستشفي الخير,Al Quds Open University - Gaza Branch,,,,no path
risk,مستشفي الخير,جامعة الازهر كلية الحقوق المغراقة,"['مستشفي الخير', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",17.36,dijkstra,ok
risk,مستشفي الخير,Islamic University - khanyonuis,"['مستشفي الخير', 'khan younes int', 'Islamic University - khanyonuis']",11.469999999999999,dijkstra,ok
risk,مدرسة الفاخورة,مستشفى شهداء الاقصى,,,,no path
risk,مدرسة الفاخورة,Gaza field hospital of the Jordanian-,"['مدرسة الفاخورة', 'Gaza field hospital of the Jordanian-']",4.51,dijkstra,ok
risk,مدرسة الفاخورة,مستشفى الشفا - مبنى الحروق,"['مدرسة الفاخورة', 'مستشفى الشفا - مبنى الحروق']",4.52,dijkstra,ok
risk,مدرسة الفاخورة,UNRWA vocational college,,,,no path
risk,مدرسة الفاخورة,UNRWA-GFO,,,,no path
risk,مدرسة الفاخورة,Al Quds Open University - Gaza Branch,"['مدرسة الفاخورة', 'Al Quds Open University - Gaza Branch']",4.58,dijkstra,ok
risk,مدرسة الفاخورة,جامعة الازهر كلية الحقوق المغراقة,,,,no path
risk,مدرسة الفاخورة,Islamic University - khanyonuis,,,,no path
